model,term,coef,pvalue,r_squared
avg_ole_model,Intercept,-0.016957676423269955,0.8789844471339029,0.2751464765144691
avg_ole_model,C(season)[T.Spring],-0.05342625789121032,0.10188561239036227,0.2751464765144691
avg_ole_model,C(season)[T.Summer],-0.10077874148596197,0.07214357878286265,0.2751464765144691
avg_ole_model,C(season)[T.Autumn],-0.01247797435185657,0.6346996025275987,0.2751464765144691
avg_ole_model,temp_c,0.00019732380189441302,0.9166146478021042,0.2751464765144691
avg_ole_model,precip,-0.15330909133090578,0.1279925937012537,0.2751464765144691
avg_ole_model,cloudcover,-0.0001471101317437267,0.6508460716056558,0.2751464765144691
avg_ole_model,humidity,0.0027032097585076706,0.013374011893833897,0.2751464765144691
avg_ole_model,avg_workers,0.03161931757142497,2.0619572658725771e-13,0.2751464765144691
failure_rate_model,Intercept,0.030930993354942753,0.018570719814268083,0.04274594192785397
failure_rate_model,C(season)[T.Spring],-0.005813750117049752,0.0519993092838408,0.04274594192785397
failure_rate_model,C(season)[T.Summer],-0.009390096807440197,0.030858534034311227,0.04274594192785397
failure_rate_model,C(season)[T.Autumn],-0.0022989054947167376,0.44674328310307676,0.04274594192785397
failure_rate_model,temp_c,-0.00010847380357559115,0.7101341125542766,0.04274594192785397
failure_rate_model,precip,-0.0037334746576052533,0.5606331012777575,0.04274594192785397
failure_rate_model,cloudcover,1.1928587875751852e-05,0.7094219276548523,0.04274594192785397
failure_rate_model,humidity,-0.00012289595393190066,0.4238881033579417,0.04274594192785397
failure_rate_model,avg_workers,-2.5727226459693306e-05,0.9397034897099745,0.04274594192785397
